track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703.0,43,263,45,10,826,B,Major,80,89,83,31,0,8,4
LALA,Myke Towers,1,2023,3,23,1474,48,133716286.0,48,126,58,14,382,C#,Major,71,61,74,7,0,10,4
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322.0,84,133,87,15,425,A,Minor,65,23,80,14,63,11,6
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112.0,34,222,43,13,418,F,Minor,67,83,76,48,0,8,3
Columbia,Quevedo,1,2023,7,7,714,43,58149378.0,25,89,30,13,194,F,Major,67,26,71,37,0,11,4
Super Shy,NewJeans,1,2023,7,7,422,55,58255150.0,37,202,21,5,168,F,Minor,78,52,82,18,0,15,7
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,G#,Major,64,43,73,5,17,16,4
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,G,Major,63,36,73,0,0,36,4
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0,F,Minor,65,87,74,22,0,42,4
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0,73,119,42,1,150,F#,Major,69,82,76,6,0,6,3
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,F,Minor,85,81,67,26,0,12,5
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,G,Minor,79,96,86,9,0,9,9
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211,F#,Minor,81,74,71,14,0,56,4
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,B,Minor,67,78,85,2,0,33,5
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,F#,Major,56,63,87,39,0,11,5
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,F#,Major,61,39,73,37,0,11,3
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,F,Major,75,57,68,9,0,13,6
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,F,Minor,79,96,85,27,0,11,6
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,D,Major,76,91,50,54,0,7,5
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,F,Major,67,49,64,10,0,10,3
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,G,Major,60,23,91,0,0,12,3
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,F#,Minor,92,55,70,18,0,15,7
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,G,Minor,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,G,Minor,84,85,68,58,0,22,4
